delta,alpha1,alpha2,alpha3,alpha4,alpha5,E_lower,E_upper
0.04,0.041846729,0.041846729,0.286078133,0.134189224,0.496039185,2.353761521,2.35292068
0.04,0.058978221,0.058978221,0.266354382,0.460924836,0.154764341,1.81820592,1.817885313
0.04,0.045125323,0.045125323,0.469241692,0.329083193,0.111424469,1.952353149,1.951946663
0.04,0.027676299,0.027676299,0.189593309,0.484743879,0.270310213,2.157560051,2.157434708
0.04,0.056695703,0.056695703,0.087919372,0.33901749,0.459671733,1.843497832,1.8431294
0.04,0.052168793,0.052168793,0.326206803,0.472712751,0.09674286,1.99699479,1.996286698
0.04,0.068503377,0.068503377,0.094246071,0.292770706,0.475976468,2.029626911,2.028191084
0.04,0.040661566,0.040661566,0.495587366,0.162841669,0.260247832,2.344602121,2.343824022
0.04,0.021104996,0.021104996,0.183307692,0.276258509,0.498223806,2.389839471,2.389819001
0.04,0.076895586,0.076895586,0.470819183,0.148036845,0.2273528,1.945406115,1.944192444
